Designator,Mid X,Mid Y,Layer,Rotation
C1,19.69,73.03,Top,180.0
C2,19.69,70.48,Top,180.0
C3,48.26,56.52,Top,180.0
C4,37.47,62.87,Top,90.0
C5,36.83,77.72,Top,180.0
C6,54.61,79.12,Top,180.0
C7,16.13,54.10,Top,270.0
C8,65.66,70.61,Top,180.0
C9,47.63,78.11,Top,90.0
FACTORYRESET,62.00,85.80,Top,0.0
IC1,28.58,76.84,Top,0.0
J1,36.83,50.80,Top,0.0
J2, 5.08,65.41,Top,270.0
LED1,63.75,77.34,Top,0.0
R1,44.45,78.11,Top,270.0
R2,67.18,77.34,Top,180.0
R3,10.16,53.98,Top,90.0
R4, 7.49,53.98,Top,90.0
R5,12.45,53.98,Top,90.0
R6, 5.21,53.98,Top,90.0
R7, 2.79,53.98,Top,90.0
U1,48.26,64.14,Top,180.0
U2,27.51,62.23,Top,0.0
U3,65.84,61.59,Top,0.0
